AdminId,IssueId,DateResolved
1,1,2023-01-20 10:00:00
2,2,2023-02-05 14:30:00
3,3,2023-02-15 11:45:00
4,4,2023-03-10 15:00:00
5,5,2023-04-25 09:15:00
6,6,2023-05-20 13:30:00
7,7,2023-06-05 17:45:00
8,8,2023-07-20 10:00:00
9,9,2023-08-15 14:15:00
10,10,2023-09-30 18:30:00
11,11,2023-10-25 11:45:00
12,12,2023-11-10 15:00:00
13,13,2023-12-05 09:15:00
14,14,2024-01-20 13:30:00
15,15,2024-02-15 17:45:00
1,16,2024-03-02 10:00:00
2,17,2024-04-17 14:15:00
3,18,2024-05-12 18:30:00
4,19,2024-06-27 11:45:00
5,20,2024-07-22 15:00:00
6,21,2024-08-06 09:15:00
7,22,2024-09-21 13:30:00
8,23,2024-10-16 17:45:00
9,24,2024-11-30 11:00:00
10,25,2024-12-25 15:15:00
11,26,2025-01-19 09:30:00
12,27,2025-02-13 13:45:00
13,28,2025-03-30 18:00:00
14,29,2025-04-24 11:15:00
15,30,2025-05-09 15:30:00
1,31,2025-06-23 09:45:00
2,32,2025-07-18 14:00:00
3,33,2025-08-02 18:15:00
4,34,2025-09-16 11:30:00
5,35,2025-10-11 15:45:00
6,36,2025-11-25 10:00:00
7,37,2025-12-20 14:15:00
8,38,2026-01-14 18:30:00
9,39,2026-02-28 11:45:00
10,40,2026-03-25 16:00:00
11,41,2026-04-19 09:15:00
12,42,2026-05-04 13:30:00
13,43,2026-06-18 17:45:00
14,44,2026-07-13 11:00:00
15,45,2026-08-27 15:15:00